Flavour          Time (s)  Speedup
Naive            3.072     1
Tile (size 1)    10.29     0.2985
Tile (size 2)    2.988     1.028
Tile (size 4)    1.546     1.987
Tile (size 8)    0.9276    3.311
Tile (size 16)   0.943     3.257
Tile (size 32)   1.143     2.688
Tile (size 64)   1.315     2.336
Tile (size 128)  1.586     1.937
MKL              0.03644   84.28
